Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЗЛАТЫЙ ШЕКЕЛЬ""",Признаки нелегального кредитора,8602287041,"628406, Ханты-Мансийский автономный округ, г. Сургут, ул. Университетская, д. 11, кв. 428",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВАЯ НИЖНЕВАРТОВСКАЯ МИКРОКРЕДИТНАЯ КОМПАНИЯ""",Признаки нелегального кредитора,8603239393,"628609, Ханты-Мансийский автономный округ, г. Нижневартовск, ул. Кузоваткина, д. ВЛД17, оф. 312",,01.02.2021
"Markets.fm, Denarium Inc. Limited, CFDBUY",Признаки нелегального профессионального участника рынка ценных бумаг,,,"markets.fm, cfdbuy.com",01.02.2021
IB Solutions Ltd,Признаки нелегального профессионального участника рынка ценных бумаг,,"Unit 1411, 14 floor, Cosco Tower, 183 Quin’s road central, Sheung wan, Hong Kong.",swipecapital.io,01.02.2021
"OneWay Solution Ltd, The Capital Hunter",Признаки нелегального профессионального участника рынка ценных бумаг,,"7 Bell Yard, London, England, WC2A 2JR",thecapitalhunter.com,01.02.2021
Dealing World,Признаки нелегального профессионального участника рынка ценных бумаг,,,dealing.world,01.02.2021
"Liquid AMP, Liquid AMP Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,liquidamp.com,01.02.2021
Выгодный комиссионный,Признаки нелегального кредитора,,"109044, г. Москва, Крутицкого пер. 3-й, д. 11;141606, Московская обл., г. Клин, ул. Гагарина, д. 37/1, нежилое помещение № 2",pawntrade.pl-lucente.com,01.02.2021
STOCK EXCHANGE 2016 – 2020,Признаки финансовой пирамиды,,,"london-stock-exchange-company.website, london-se-company.website",01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ПАСТЕРНАК""",Признаки нелегального кредитора,7203423798,"625022, Тюменская обл., г. Тюмень, проезд Солнечный, д. 23, корпус А, офис 30",,01.02.2021
"Комиссионный магазин ""Купи-Продай""",Признаки нелегального кредитора,,"297412,  Республика Крым, г. Евпатория, проспект Победы, д. 4, Торговый центр «Консоль», павильон 12;296500,  Республика Крым, г. Саки, ул. Симферопольская, д. 17, автостанция Саки;296500,  Республика Крым, г. Саки, ул. Симферопольская, д. 21",vk.com/kupiproday_saki,01.02.2021
Прием телефонов планшетов в залог ,Признаки нелегального кредитора,,"356630, Ставропольский край, г. Ипатово, ул. Орджоникидзе, 60",,01.02.2021
Салон Сотлайн,Признаки нелегального кредитора,,"356630, Ставропольский край, г. Ипатово, ул. Ленинградская, 45",,01.02.2021
Руфинанс,Признаки нелегального кредитора,,"357820, Ставропольский край, г. Георгиевск, ул. Калинина, 20",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОМЕСТРА-ЦЕНТР""",Признаки нелегального кредитора,4250003682,"652425, Кемеровская обл.-Кузбасс, г. Березовский, проспект Ленина, д. 54",,01.02.2021
Ломбард Золото Юга,Признаки нелегального кредитора,,"353800, Краснодарский край, ст. Полтавская, ул. Ковтюха, 119",золотороссии.рф,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""СИБИРСКОЕ ФИНАНСОВОЕ АГЕНТСТВО""",Признаки нелегального кредитора,2225131366,"656043, Алтайский край, г. Барнаул, Социалистический пр-т, д. 35",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ХАМСА-МАНИ""",Признаки нелегального кредитора,7017439279,"634029, Томская обл., г. Томск, пр. Фрунзе, д. 20, оф. 406",,01.02.2021
Комиссионный магазин 100 ломбардов,Признаки нелегального кредитора,,"650065, Кемеровская обл.-Кузбасс, г. Кемерово, пр-т Ленина, д. 14",,01.02.2021
"ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""НОВИНСКИЙ""",Признаки финансовой пирамиды,9704010604,"121099, г. Москва, Новинский бульвар, д. 13, стр. 6, пом. II",pk-nov.ru,01.02.2021
Blue Tiger Finance Limited,Признаки финансовой пирамиды,,,tigeronefinance.com,01.02.2021
Renessans,Признаки нелегального профессионального участника рынка ценных бумаг,,,ren.uk.com,01.02.2021
Tasbiw,Признаки нелегального профессионального участника рынка ценных бумаг,,,tasbiw.com,01.02.2021
TraderKing,Признаки нелегального профессионального участника рынка ценных бумаг,,,traderking.io,01.02.2021
"Game Capital Ads Limited, Crypto Capital Pro",Признаки нелегального профессионального участника рынка ценных бумаг,,,cryptocapitalpro.com,01.02.2021
BitBlago,Признаки финансовой пирамиды,,,bitblago.com,01.02.2021
Logus,Признаки финансовой пирамиды,,,logus.io,01.02.2021
"МЕЖДУНАРОДНЫЙ ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ВЗАИМНОГО ОБЕСПЕЧЕНИЯ ""БИЛЛИОНС""",Признаки финансовой пирамиды,7703478192,"123112, г. Москва, наб. Пресненская, д. 12, эт. 54, пом. V, ком.3",billions.coop,01.02.2021
MAX-Finance24,Признаки финансовой пирамиды,,,max-finance24.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРСОВ РУС""",Признаки финансовой пирамиды,7604349414,"150000, Ярославская обл., г. Ярославль, ул. Большая Октябрьская, д. 37/1, эт. 1, оф. 13",lk.khrsv.com,01.02.2021
"Milagro Partnership LTD, Energy Markets",Признаки нелегального профессионального участника рынка ценных бумаг,,,energy-markets.io,01.02.2021
InQuot,Признаки нелегального профессионального участника рынка ценных бумаг,,,inquot.com,01.02.2021
InSure Trade,Признаки нелегального профессионального участника рынка ценных бумаг,,,insure-trade.io,01.02.2021
Royal Credit Group,Признаки нелегального профессионального участника рынка ценных бумаг,,,credsag.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАМЕРЛАН-Н""",Признаки нелегального кредитора,1650275830,"423838, Республика Татарстан, г. Набережные Челны, пр. Чулман, д. 13, кв. 72","autolombard116.ru, lombard-altyn.ru
",01.02.2021
комиссионный магазин Tehno Shark,Признаки нелегального кредитора,,"454081, Челябинская обл., г. Челябинск, ул. Артиллерийская, 100В (Торговый комплекс «Диско»)",vk.com/technoshark74,01.02.2021
"ApexCrypt, Apexcrypt LTD",Признаки нелегального профессионального участника рынка ценных бумаг,,,apexcrypt.com,01.02.2021
Moex Partners LTD,Признаки финансовой пирамиды,,"27 Oxford Street, London, England, W1D 2DP",moexpartners.com,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ НАКОПИТЕЛЬНЫЙ КООПЕРАТИВ ""АВТОТИК"" (ГК ""ТИК"")",Признаки финансовой пирамиды,0507025524,"368211, Республика Дагестан, Буйнакский район, с. Карамахи, ул. Карамахинская, д. 4","tiс.capital, ti.capital",01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ НАКОПИТЕЛЬНЫЙ КООПЕРАТИВ ""ТИК"" (ГК ""ТИК"")",Признаки финансовой пирамиды,0507025531,"368211, Республика Дагестан, Буйнакский район, с. Карамахи, ул. Карамахинская, д. 4","tiс.capital, ti.capital",01.02.2021
"Global Maxis, SystemDevCorporate LLC",Признаки нелегального профессионального участника рынка ценных бумаг,,,globalmaxis.com,01.02.2021
"TMT Groups, Synergy Investments Ltd",Признаки нелегального профессионального участника рынка ценных бумаг,,,tmtgroups.com,01.02.2021
COMEX LIMITED,Признаки финансовой пирамиды,,,comextrades.com,01.02.2021
CRYPTOHANDS,Признаки финансовой пирамиды,,,cryptohands.org,01.02.2021
deepTradeBot,Признаки финансовой пирамиды,,,deeptradebot.com,01.02.2021
gissis,Признаки финансовой пирамиды,,,gissis.com,01.02.2021
kaselok,Признаки финансовой пирамиды,,,kaselok.site,01.02.2021
MAYA Shares,Признаки финансовой пирамиды,,,maya-group.me,01.02.2021
PROFIT FUND SEVEN,Признаки финансовой пирамиды,,,pf-7.com,01.02.2021
QUBITTECH,Признаки финансовой пирамиды,,,qubittech.ai,01.02.2021
Richway GAM,Признаки финансовой пирамиды,,,richwaygam.com,01.02.2021
s-bablom,Признаки финансовой пирамиды,,,s-bablom-zae.biz,01.02.2021
STTN,Признаки финансовой пирамиды,,,Tigertradenow.com,01.02.2021
Top Best,Признаки финансовой пирамиды,,,topbest.site,01.02.2021
v7help,Признаки финансовой пирамиды,,,v7help.com,01.02.2021
VIXES,Признаки финансовой пирамиды,,,vixes.biz,01.02.2021
WATERFALL-CLUB LTD,Признаки финансовой пирамиды,,,waterfallco.info,01.02.2021
INTERNATIONAL YACHT COMPANY LTD,Признаки финансовой пирамиды,,,yacht-company.com,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАЙМОВ""",Признаки нелегального кредитора,0278210610,"450022, Республика Башкортостан, г. Уфа, ул. Менделеева, дом 149",bashzaim.com,01.02.2021
ABC-Market,Признаки нелегального профессионального участника рынка ценных бумаг,,,abc-market.trade,01.02.2021
